rating,content,userName,at,reviewCreatedVersion
1,"Жуткая каруселька. жуткие настройки моей волны. Дизлайки доступны только в меню второго уровня. Не удобно за рулем, на ходу, на бегу и без очков)",Viktor,2026-06-20 19:31:42,
5,супер работает офлайн,Владимир Кулишов,2026-06-20 19:27:14,2026.05.4 #149.1gpr
1,"начинал пользоваться когда подписка стоила 99 рублей и были все исполнители, щас 459 и заблюрено все а так же нет иностранных исполнителей",Nikita Kuzmin,2026-06-20 19:16:25,2026.06.2 #151.1gpr
5,"Уважаемые разработчики. Очень сильно глючит муз.приложение. Скачаное не проигрывается и вообще очень не корректная работа. Сделайте что нибудь, ведь я оплачиваю вашу подписку.",Инна Дроздова,2026-06-20 19:11:33,2026.06.2 #151.1gpr
3,"после последнего обновления появились неприятный новшества: 1. в шторке у виджета пропала возможность отметить сердечком композицию 2. после выключения проги и смахивания из шторки виджета эта зараза грузится снова. несколько раз надо смахнуть, чтобы окончательно убрать из шторки 3. сама программа изменила внешний вид. у проигрываемой мелодии пропали элементы управления, сердечко. каждый раз приходится проваливаться в глубь до проигрывателя. по всем этим изменениям стало в разы неудобнее и беся",Светлана Копотова,2026-06-20 19:08:39,
2,"дизайн не понятный, настройки ""моя волна"" не пойми где находится, очень странный алгоритм подбора треков, буквально через песню играет что-то из моей коллекции или что уже неоднократно проигрывалось.",Ink,2026-06-20 19:06:02,2026.06.2 #151.1gpr
1,"ужасное приложение, уже с давних времен трясут денег, то одна сумма, то другая, постоянные списания на карте. поддержка полное дно и позор, в общей сумме просидела полтора часа, чтобы мне толком ничего не ответили и писали одно и тоже. позор!",Ksenia Yakushewa,2026-06-20 18:48:14,2026.06.2 #151.1gpr
1,"Фу, теперь обязательно подписку покупать надо",Артём Коротков,2026-06-20 18:42:05,2026.06.2 #151.1gpr
3,"Не уверен, как аудитория «Я» отнеслась к переработке Музыки, но для меня обновления ухудшили опыт. Раньше настройка «Моей волны» занимала пару секунд. Теперь функцию трудно найти, что затрудняет использование за рулем. Подборки «по настроению» работают некорректно: в плейлисте «Спокойное без слов» после нескольких треков начинают играть неспокойные треки со словами 😐. Преимущества старой версии нивелированы обновлением. Грустно и невкусно.",Дмитрий Крохалев (Gusander),2026-06-20 18:21:34,2026.06.2 #151.1gpr
1,Почему теперь при переключении трека он останавливается и начинает создавать новую волну по каждому треку? что случилось с авто воспроизведением?,Gennadiy Tkachev,2026-06-20 18:20:00,2026.06.2 #151.1gpr
