rating,content,userName,at,reviewCreatedVersion
5,Впечатляющие приложение. Очень классно что можно настроить волну под настроение или под вид занятия.,Алексей,2026-06-20 19:04:11,4.110.0
1,"Убрали плашку качество звучания, альбома два, а какой hi-fi на слух определяй",Алексей Сергеевич,2026-06-20 18:31:58,4.110.0
2,"Обман. В рекламе утверждают бесплатно, но стоит 399 рублей. это дорого",oleg grebnev,2026-06-20 18:11:40,
1,"Когда же уже наконец появится возможность управления колонкой с телефона.... Блин, возможно я много прошу... Ну нельзя же быть таким тупым! Почему ЯндексМузыка добавляет в плейлист дня композиции которые мне нравятся, а звук - исключительно, которые меня раздражают...(((",Alexander Volkov,2026-06-20 13:26:32,4.110.0
5,у меня у одной нету экспоната🤣,Демченко,2026-06-20 12:44:49,4.98.1
5,очень классное но жаль некоторые песни брюлят,Диана Безрукова,2026-06-20 12:00:07,4.110.0
1,я пользовался звуком на протяжении 6 месяцев и думал что он бесплатный но как оказалось ему нужна подписка сберпрайм мне он нравился а сейчас нет,Марк,2026-06-20 11:23:26,4.110.0
5,я влюбилась в него 🥰🥰🥰🥰,Василиса,2026-06-20 05:46:23,4.110.0
5,хорошее приложение,Артем Голышев,2026-06-20 04:22:29,4.110.0
5,всё хорошо работает,Альбина,2026-06-20 03:36:39,4.110.0
5,"Хорошее приложение, которое приятно удивило своим функционалом. Здесь удобно слушать и музыку, и подкасты, и аудиокниги — всё собрано в одном месте. Интерфейс простой и не перегруженный, быстро привыкаешь. Контента достаточно много, легко найти что-то интересное под любое настроение. Воспроизведение работает стабильно, без сбоев. В целом, отличный вариант для повседневного использования.",Аделина,2026-06-20 02:45:08,4.110.0
5,"Отличное приложение, пользуюсь давно, интересная музыка, очень нравится",Ангелина Кофонова,2026-06-20 01:54:00,4.110.0
5,Классное приложение но хоть мне не удалось зарегистрироваться в приложении звук и сайте звук тоже,DonPer,2026-06-20 01:25:34,4.110.0
4,да когда добавите песню священная война про Юру 190 а то удалю если не добавите и переду Яндекс музыка,Таракан,2026-06-19 22:00:11,4.110.0
5,"Сделайте пожалуйста приложение Звук,для компьютеров Windows!",Максим Артамонов,2026-06-19 21:56:42,4.109.0
2,почему подписка выходит каждый месяц?,Умар Байсултанов,2026-06-19 21:11:02,4.110.0
1,Не мне не понравилось,sergey popov,2026-06-19 21:05:16,
5,"очень удобно, особенно в условиях постоянного отключения Интернета.",Nikita Vasiliev,2026-06-19 20:26:54,4.110.0
5,"приложение Супер! можно послушать не только музыку, но и книги! (если задали прочитать, а тебе лень).Есть песни которые работают без интернета. можно найти песню:по названию, по строчке песни, авторе. очень классное приложение, заходит с первого раза. есть плюсы и минус, конечно. плюсы:быстро находится, не надо платить, можно сохранить и поделиться песней, или аудиокнигой. минус:не все песни можно найти. рекомендую скачать! (мне одиннадцать, но это предложение Супер!)",Настя,2026-06-19 19:01:30,4.109.0
2,"Сделайте светлую тему. Очень не хватает. В темноте, как в гробу ковыряешься. Пожалуйста...",Александр,2026-06-19 16:59:24,4.110.0
5,хорошее приложения для прослушивания музыки качества звука высоке,hertskle,2026-06-19 15:59:44,
5,удобный и понятный функционал для меня.,Светлана,2026-06-19 15:23:30,
3,"последние несколько дней стали появляться песни, которые я даже не скачивал. каждый день захожу и удаляю их.",Матвей,2026-06-19 13:56:49,
2,"нашла новый альбом эванесенс 26год. но спустя 15 секунд музыка выключалась. добавила альбом в избранное. обновила приложения, ни следов этого альбома, ни истории поиска, ничего. как вы тогда это объясните правами обладателя?",Olya Belyaeva,2026-06-19 13:21:46,4.109.0
3,"Само приложение отличное, хорошо работает, и песни слушать просто офигенно прекрасно, и оформление мне нравилось, вообще всё, но есть одно огромное НО: когда пришло время оплачивать подписку, у меня показывало сбои, и по сути музыку слушать я не могла, так как подписку не оплатила, ну и оплатить ее не могу. В итоге пришлось удалять приложение и заново скачивать, снова заходить в аккаунт, снова восстанавливать, но у меня в итоге ничего и не получилось, понятия не имею, что произошло! 3 звёзды!",Юлия Дорожкова,2026-06-19 11:00:45,4.109.0
5,"большой плюс можно скачивать и слушать музыку в фоновом режиме бесплатно, также реклама совсем не беспокоит, приложение само подбирает твои вкусы, всем советую! 😁♥️",Владимир Карабаноа,2026-06-19 04:53:34,4.109.0
5,"Пользуюсь приложением 2 недели.Хорошо оптимизировано и не потребляет много заряда телефона.Но рекомендации музыки слабоваты,но работают.Приложение следует немного доработать,но мне понравилось!",yaroslav vanyushin,2026-06-19 04:45:51,4.109.0
5,"приложение понравилось, музыка, книги, подкасты в одном месте и работает хорошо",Amina,2026-06-19 04:40:49,4.109.0
1,я пишу номер и ещё тем-более там надо SMS промокод я вставляю надо что то про сбер надо делать я растроина у брата родотоет а у меня нет 1 бал из 5,Алексей Марчук,2026-06-19 03:55:52,4.110.0
5,"не так долго пользовалась. но мне показалось, что это очень хорошее приложение для музыки, всем советую 💞",Liza kirpih,2026-06-19 03:45:02,4.110.0
3,музыка играет хорошо только вот за подписку надо платить а я не хочу сделайте так чтобы не было никакой подписки а то я как музыку буду слушать!!!!!!!!!!!!!!!!!!!!!,Давид,2026-06-19 03:12:34,4.109.0
5,🙏🙏🤩,Виктор Логин,2026-06-19 03:07:26,4.108.0
5,Приложение просто🔥.Четкий звук и можно настроить эквалайзер на свой вкус,Дмитрий Владимирович,2026-06-19 02:58:48,
5,Классное приложение очень нарвется!!!,Артем Роенко,2026-06-19 02:54:22,4.110.0
5,"сразу видно что, приложение хорошее.Спасибо всем!!!!!!!",Сергей Морозов,2026-06-19 01:43:59,
5,"приложение хорошее , хорошее разнообразие песен",Кирилл Рябинин,2026-06-19 00:46:02,4.109.0
